204.76.203.219 - - [15/Jun/2026:00:03:28 +0200] "GET /SDK/webLanguage HTTP/1.1" 404 494 "-" "Mozilla/5.0"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /v1/.git/config HTTP/1.1" 404 4455 "-" "Mozilla/5.0 (X11; CrOS x86_64 11647.154.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.114 Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /v3/.git/config HTTP/1.1" 404 4457 "-" "Mozilla/5.0 (Linux; Android 8.0.0; F5121) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /app/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Linux; Android 8.0.0; LG-H932) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /web/.git/config HTTP/1.1" 404 4455 "-" "Mozilla/5.0 (Linux; U; Android 8.1.0; es-us; Redmi Note 5 Build/OPM1.171019.011) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/71.0.3578.141 Mobile Safari/537.36 XiaoMi/MiuiBrowser/10.9.7-g"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /src/.git/config HTTP/1.1" 404 4456 "-" "SonyEricssonK550i/R1JD Browser/NetFront/3.3 Profile/MIDP-2.0 Configuration/CLDC-1.1"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /www/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.143 YaBrowser/19.7.3.172 Yowser/2.5 Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /htdocs/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Windows NT 6.0; rv:14.0) Gecko/20100101 Firefox/14.0.1"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /backend/.git/config HTTP/1.1" 404 4457 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36 OPR/62.0.3331.117"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /public/.git/config HTTP/1.1" 404 4457 "-" "LG-LX550 AU-MIC-LX550/2.0 MMP/2.0 Profile/MIDP-2.0 Configuration/CLDC-1.1"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /html/.git/config HTTP/1.1" 404 4455 "-" "everyfeed-spider/2.0 (http://www.everyfeed.com)"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /static/.git/config HTTP/1.1" 404 4457 "-" "Mozilla/5.0 (Windows NT 6.0; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /assets/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /build/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /dist/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (X11; U; Linux x86_64; en-US) AppleWebKit/534.7 (KHTML, like Gecko) Chrome/7.0.514.0 Safari/534.7"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /admin/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Linux; Android 8.0.0; d-02K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.105 Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /portal/.git/config HTTP/1.1" 404 4457 "-" "Mozilla/4.0 (compatible; MSIE 6.0; Windows CE; IEMobile 6.12; Microsoft ZuneHD 4.3)"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /site/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (X11; OpenBSD amd64; rv:28.0) Gecko/20100101 Firefox/28.0"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /dashboard/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /wp-content/.git/config HTTP/1.1" 404 4455 "-" "Mozilla/5.0 (Linux; Android 8.0.0; moto e5 plus Build/OPPS27.91-122-3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.126 Mobile Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /blog/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Linux; Android 8.1.0; Redmi 6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /shop/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (X11; Linux i686; rv:40.0) Gecko/20100101 Firefox/40.0"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /wordpress/.git/config HTTP/1.1" 404 4455 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:2.0.1) Gecko/20100101 Firefox/4.0.1 Camino/2.2.1"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /laravel/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Linux; Android 8.0.0; PRA-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.101 Mobile Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /symfony/.git/config HTTP/1.1" 404 4455 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/76.0.3809.123 Mobile/15E148 Safari/605.1"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /project/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.100 Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /code/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Linux; Android 9; SM-N950U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /.git/config HTTP/1.1" 404 4456 "-" "LG-LX550 AU-MIC-LX550/2.0 MMP/2.0 Profile/MIDP-2.0 Configuration/CLDC-1.1"
34.131.164.42 - - [15/Jun/2026:00:07:44 +0200] "GET /frontend/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Linux; Android 9; Redmi Note 5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36"
34.131.164.42 - - [15/Jun/2026:00:07:45 +0200] "GET /api/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; BOLT/2.800) AppleWebKit/534.6 (KHTML, like Gecko) Version/5.0 Safari/534.6.3"
34.131.164.42 - - [15/Jun/2026:00:07:45 +0200] "GET /v2/.git/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:2.0.1) Gecko/20100101 Firefox/4.0.1"
93.174.93.12 - - [15/Jun/2026:00:08:13 +0200] "\x16\x03\x02\x01o\x01" 400 523 "-" "-"
204.76.203.206 - - [15/Jun/2026:00:11:36 +0200] "GET /SDK/webLanguage HTTP/1.1" 404 494 "-" "Mozilla/5.0"
93.123.72.183 - - [15/Jun/2026:00:13:12 +0200] "GET /SDK/webLanguage HTTP/1.1" 404 494 "-" "Mozilla/5.0"
198.235.24.40 - - [15/Jun/2026:00:24:10 +0200] "GET / HTTP/1.0" 200 10975 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity"
164.92.232.89 - - [15/Jun/2026:00:50:00 +0200] "GET / HTTP/1.1" 200 3324 "-" "Mozilla/5.0 zgrab/0.x"
193.221.201.137 - - [15/Jun/2026:00:57:52 +0200] "GET / HTTP/1.1" 200 14947 "-" "Mozilla/5.0"
176.65.139.66 - - [15/Jun/2026:01:07:36 +0200] "GET / HTTP/1.0" 200 10975 "-" "Shodan-Pull/1.0"
79.124.40.174 - - [15/Jun/2026:01:22:22 +0200] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 3343 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
35.187.47.175 - - [15/Jun/2026:01:33:20 +0200] "GET /wp-json/gravitysmtp/v1/config HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Linux; Android 7.0; LG-H820) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
35.187.47.175 - - [15/Jun/2026:01:33:20 +0200] "GET /wp-json/gravitysmtp/v1/tests/mock-data?page=gravitysmtp-settings HTTP/1.1" 404 4455 "-" "Mozilla/5.0 (Linux; Android 7.0; Alcatel_5044R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.111 Mobile Safari/537.36"
35.187.47.175 - - [15/Jun/2026:01:33:20 +0200] "GET /wp-json/wp/v2/settings HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36 OPR/62.0.3331.116"
35.187.47.175 - - [15/Jun/2026:01:33:20 +0200] "GET /wp-json/gravitysmtp/v1/settings HTTP/1.1" 404 4455 "-" "Mozilla/4.1 (compatible; MSIE 5.0; Symbian OS; Nokia 6600;452) Opera 6.20 [en-US]"
35.187.47.175 - - [15/Jun/2026:01:33:20 +0200] "GET /wp-json/gravitysmtp/v1/tests/mock-data HTTP/1.1" 404 4456 "-" "Mozilla/5.0 (Linux; Android 8.1.0; Mi Note 3 Build/OPM1.171019.019; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/66.0.3359.126 MQQBrowser/6.2 TBS/044813 Mobile Safari/537.36 MMWEBID/6858 MicroMessenger/7.0.5.1440(0x27000537) Process/tools NetType/4G Language/zh_CN"
103.203.57.3 - - [15/Jun/2026:01:38:52 +0200] "GET / HTTP/1.1" 200 3324 "-" "Mozilla/5.0 zgrab/0.x"
93.123.72.183 - - [15/Jun/2026:01:43:47 +0200] "GET /SDK/webLanguage HTTP/1.1" 404 494 "-" "Mozilla/5.0"
